index,Comunidades y Ciudades Autónomas,Edad del trabajador,Sexo,Periodo,Total
4032,País Vasco,Todas las edades,Ambos sexos,2021,31063.68
3276,Comunidad de Madrid,Todas las edades,Ambos sexos,2021,29512.58
4536,Ceuta,Todas las edades,Ambos sexos,2021,28628.08
3780,Comunidad Foral de Navarra,Todas las edades,Ambos sexos,2021,28459.37
2268,Cataluña,Todas las edades,Ambos sexos,2021,28145.02
4537,Melilla,Todas las edades,Ambos sexos,2021,27987.96
0,Total Nacional,Todas las edades,Ambos sexos,2021,25896.82
756,Principado de Asturias,Todas las edades,Ambos sexos,2021,25046.6
504,Aragón,Todas las edades,Ambos sexos,2021,25011.55
1512,Cantabria,Todas las edades,Ambos sexos,2021,24470.7
1008,Illes Balears,Todas las edades,Ambos sexos,2021,24134.73
4284,La Rioja,Todas las edades,Ambos sexos,2021,23716.88
1764,Castilla y León,Todas las edades,Ambos sexos,2021,23564.33
2520,Comunitat Valenciana,Todas las edades,Ambos sexos,2021,23448.29
3024,Galicia,Todas las edades,Ambos sexos,2021,23305.86
3528,Región de Murcia,Todas las edades,Ambos sexos,2021,23281.39
2016,Castilla - La Mancha,Todas las edades,Ambos sexos,2021,23234.55
252,Andalucía,Todas las edades,Ambos sexos,2021,23154.99
1260,Canarias,Todas las edades,Ambos sexos,2021,22466.23
2772,Extremadura,Todas las edades,Ambos sexos,2021,21393.01
