Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Jornada a tiempo completo;Total Nacional;Total decil;2021;2.313,13
Jornada a tiempo completo;01 Andalucía;Total decil;2021;2.070,82
Jornada a tiempo completo;02 Aragón;Total decil;2021;2.221,33
Jornada a tiempo completo;03 Asturias, Principado de;Total decil;2021;2.328,49
Jornada a tiempo completo;04 Balears, Illes;Total decil;2021;2.272,69
Jornada a tiempo completo;05 Canarias;Total decil;2021;2.144,14
Jornada a tiempo completo;06 Cantabria;Total decil;2021;2.265,63
Jornada a tiempo completo;07 Castilla y León;Total decil;2021;2.181,05
Jornada a tiempo completo;08 Castilla - La Mancha;Total decil;2021;2.113,54
Jornada a tiempo completo;09 Cataluña;Total decil;2021;2.462,41
Jornada a tiempo completo;10 Comunitat Valenciana;Total decil;2021;2.210,09
Jornada a tiempo completo;11 Extremadura;Total decil;2021;1.821,29
Jornada a tiempo completo;12 Galicia;Total decil;2021;2.197,67
Jornada a tiempo completo;13 Madrid, Comunidad de;Total decil;2021;2.603,91
Jornada a tiempo completo;14 Murcia, Región de;Total decil;2021;2.058,92
Jornada a tiempo completo;15 Navarra, Comunidad Foral de;Total decil;2021;2.478,97
Jornada a tiempo completo;16 País Vasco;Total decil;2021;2.743,69
Jornada a tiempo completo;17 Rioja, La;Total decil;2021;2.138,01
Jornada a tiempo completo;18 Ceuta;Total decil;2021;2.468,84
Jornada a tiempo completo;19 Melilla;Total decil;2021;2.332,33
